threshold,f1,accuracy,precision,recall,fpr,fnr,TP,TN,FP,FN
0.6100000000000001,0.8960244648318043,0.8357487922705314,0.8960244648318043,0.8960244648318043,0.39080459770114945,0.10397553516819572,293,53,34,34
0.6150000000000001,0.8837209302325582,0.8188405797101449,0.8962264150943396,0.8715596330275229,0.3793103448275862,0.12844036697247707,285,54,33,42
0.6200000000000001,0.8622366288492705,0.7946859903381642,0.9172413793103448,0.8134556574923547,0.27586206896551724,0.18654434250764526,266,63,24,61
0.6250000000000001,0.8489932885906041,0.782608695652174,0.9405204460966543,0.7737003058103975,0.1839080459770115,0.22629969418960244,253,71,16,74
0.6300000000000001,0.8324697754749568,0.7657004830917874,0.9563492063492064,0.7370030581039755,0.12643678160919541,0.26299694189602446,241,76,11,86
0.6350000000000001,0.7899461400359067,0.717391304347826,0.9565217391304348,0.672782874617737,0.11494252873563218,0.327217125382263,220,77,10,107
0.6400000000000001,0.754646840148699,0.6811594202898551,0.9620853080568721,0.6207951070336392,0.09195402298850575,0.37920489296636084,203,79,8,124
0.6450000000000001,0.7324478178368121,0.6594202898550725,0.965,0.5902140672782875,0.08045977011494253,0.40978593272171254,193,80,7,134
0.6500000000000001,0.7042801556420234,0.6328502415458938,0.9679144385026738,0.5535168195718655,0.06896551724137931,0.44648318042813456,181,81,6,146
0.6550000000000001,0.6733466933867737,0.606280193236715,0.9767441860465116,0.5137614678899083,0.04597701149425287,0.48623853211009177,168,83,4,159
0.6600000000000001,0.6447638603696099,0.5821256038647343,0.98125,0.4801223241590214,0.034482758620689655,0.5198776758409785,157,84,3,170
0.6650000000000001,0.6335403726708075,0.572463768115942,0.9807692307692307,0.46788990825688076,0.034482758620689655,0.5321100917431193,153,84,3,174
0.6700000000000002,0.6088794926004228,0.5531400966183575,0.9863013698630136,0.44036697247706424,0.022988505747126436,0.5596330275229358,144,85,2,183
0.6750000000000002,0.5695652173913044,0.5217391304347826,0.9849624060150376,0.40061162079510704,0.022988505747126436,0.599388379204893,131,85,2,196
0.6800000000000002,0.5079365079365079,0.4758454106280193,0.9824561403508771,0.3425076452599388,0.022988505747126436,0.6574923547400612,112,85,2,215
0.6850000000000002,0.46478873239436624,0.4492753623188406,1.0,0.30275229357798167,0.0,0.6972477064220184,99,87,0,228
0.6900000000000002,0.40487804878048783,0.4106280193236715,1.0,0.25382262996941896,0.0,0.746177370030581,83,87,0,244
0.6950000000000002,0.296875,0.34782608695652173,1.0,0.1743119266055046,0.0,0.8256880733944955,57,87,0,270
0.7000000000000002,0.22282608695652173,0.30917874396135264,1.0,0.12538226299694188,0.0,0.8746177370030581,41,87,0,286
