=== EVALUATION SUMMARY ===,,,

AVERAGE ACCURACIES,,,
Goodware Average,52.9%,across 7 folders,
Malware Average,87.3%,across 11 folders,
Overall Average,70.1%,,

OVERALL METRICS,,,
Total Samples,172,,
Overall Accuracy,77.3%,,
Precision,79.3%,,
Recall (TPR),87.3%,,
F1-Score,83.1%,,
False Pos Rate,40.3%,,
Avg Time/Sample,0.51s,,

CONFUSION MATRIX,,,
True Positives,96,Malware correctly identified,
False Positives,25,Goodware incorrectly flagged,
True Negatives,37,Goodware correctly identified,
False Negatives,14,Malware missed,

==================================================,,,

PER-FOLDER BREAKDOWN,,,
Folder,Correct,Total,Accuracy
goodware/1,4,10,0.400
goodware/2,9,10,0.900
goodware/3,5,10,0.500
goodware/4,9,10,0.900
goodware/5,5,10,0.500
goodware/6,5,10,0.500
goodware/7,0,2,0.000
malware/1,8,10,0.800
malware/10,10,10,1.000
malware/11,9,10,0.900
malware/2,8,10,0.800
malware/3,10,10,1.000
malware/4,10,10,1.000
malware/5,10,10,1.000
malware/6,1,10,0.100
malware/7,10,10,1.000
malware/8,10,10,1.000
malware/9,10,10,1.000
