=== EVALUATION SUMMARY ===,,,

AVERAGE ACCURACIES,,,
Goodware Average,77.1%,across 7 folders,
Malware Average,92.7%,across 11 folders,
Overall Average,84.9%,,

OVERALL METRICS,,,
Total Samples,172,,
Overall Accuracy,90.7%,,
Precision,92.7%,,
Recall (TPR),92.7%,,
F1-Score,92.7%,,
False Pos Rate,12.9%,,
Avg Time/Sample,1.38s,,

CONFUSION MATRIX,,,
True Positives,102,Malware correctly identified,
False Positives,8,Goodware incorrectly flagged,
True Negatives,54,Goodware correctly identified,
False Negatives,8,Malware missed,

==================================================,,,

PER-FOLDER BREAKDOWN,,,
Folder,Correct,Total,Accuracy
goodware/1,8,10,0.800
goodware/2,10,10,1.000
goodware/3,10,10,1.000
goodware/4,8,10,0.800
goodware/5,8,10,0.800
goodware/6,10,10,1.000
goodware/7,0,2,0.000
malware/1,9,10,0.900
malware/10,10,10,1.000
malware/11,6,10,0.600
malware/2,10,10,1.000
malware/3,10,10,1.000
malware/4,9,10,0.900
malware/5,10,10,1.000
malware/6,10,10,1.000
malware/7,10,10,1.000
malware/8,10,10,1.000
malware/9,8,10,0.800
