threshold,f1,accuracy,precision,recall,fpr,fnr,TP,TN,FP,FN
0.5,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.505,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.51,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.515,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.52,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.525,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.53,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.535,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.54,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.545,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.55,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.555,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.56,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5650000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5700000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5750000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5800000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5850000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5900000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.5950000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6000000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6050000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6100000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6150000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6200000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6250000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6300000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6350000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6400000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6450000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6500000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6550000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6600000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6650000000000001,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6700000000000002,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6750000000000002,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6800000000000002,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
0.6850000000000002,0.8738738738738739,0.776,0.776,1.0,1.0,0.0,194,0,56,0
