threshold,f1,accuracy,precision,recall,fpr,fnr,TP,TN,FP,FN
0.5,0.9757432401094568,0.9620188816267248,0.9709248661620823,0.9806096765171995,0.1035162668419323,0.019390323482800412,10519,2728,315,208
0.505,0.9757862510436961,0.9620915032679739,0.9711014680084942,0.9805164538081477,0.10285902070325337,0.019483546191852334,10518,2730,313,209
0.51,0.9757840044535165,0.9620915032679739,0.9711884753901561,0.9804232310990958,0.1025303976339139,0.01957676890090426,10517,2731,312,210
0.515,0.9758723088344469,0.9622367465504721,0.9714549653579677,0.9803300083900438,0.1015445284258955,0.019669991609956184,10516,2734,309,211
0.52,0.9759628770301624,0.9623819898329702,0.9716344821214081,0.9803300083900438,0.10088728228721656,0.019669991609956184,10516,2736,307,211
0.525,0.9758655899006776,0.9622367465504721,0.9717164248082077,0.9800503402628881,0.1005586592178771,0.01994965973711196,10513,2737,306,214
0.53,0.9758633494244338,0.9622367465504721,0.9718036424147176,0.9799571175538361,0.10023003614853762,0.020042882446163885,10512,2738,305,215
0.535,0.9759992572303978,0.9624546114742193,0.9720732383946735,0.9799571175538361,0.09924416694051923,0.020042882446163885,10512,2741,302,215
0.54,0.9759970286457125,0.9624546114742193,0.9721605623381429,0.9798638948447842,0.09891554387117976,0.02013610515521581,10511,2742,301,216
0.545,0.9759494846318135,0.9623819898329702,0.9721579872352234,0.9797706721357322,0.09891554387117976,0.020229327864267736,10510,2742,301,217
0.55,0.9759494846318135,0.9623819898329702,0.9721579872352234,0.9797706721357322,0.09891554387117976,0.020229327864267736,10510,2742,301,217
0.555,0.9761761017972415,0.9627450980392157,0.9726078104756617,0.9797706721357322,0.09727242852448242,0.020229327864267736,10510,2747,296,217
0.56,0.9761285528515697,0.9626724763979666,0.9726052753354928,0.9796774494266803,0.09727242852448242,0.02032255057331966,10509,2747,296,218
0.5650000000000001,0.9760809994891088,0.9625998547567175,0.9726027397260274,0.9795842267176285,0.09727242852448242,0.020415773282371586,10508,2747,296,219
0.5700000000000001,0.9761241174284652,0.9626724763979666,0.9727802981205443,0.9794910040085765,0.09661518238580348,0.02050899599142351,10507,2749,294,220
0.5750000000000001,0.9760743321718931,0.9625998547567175,0.9728653454343397,0.9793045585904726,0.09628655931646402,0.020695441409527362,10505,2750,293,222
0.5800000000000001,0.9760743321718931,0.9625998547567175,0.9728653454343397,0.9793045585904726,0.09628655931646402,0.020695441409527362,10505,2750,293,222
0.5850000000000001,0.9759791850578452,0.9624546114742193,0.972860318636532,0.9791181131723687,0.09628655931646402,0.020881886827631212,10503,2750,293,224
0.5900000000000001,0.9759316048694359,0.9623819898329702,0.9728578045391385,0.9790248904633169,0.09628655931646402,0.020975109536683138,10502,2750,293,225
0.5950000000000001,0.9759724868708461,0.9624546114742193,0.9731232622798888,0.978838445045213,0.09530069010844561,0.021161554954786985,10500,2753,290,227
0.6000000000000001,0.9760156177372874,0.9625272331154684,0.9733011958839344,0.9787452223361611,0.09464344396976668,0.02125477766383891,10499,2755,288,228
0.6050000000000001,0.975968019337145,0.9624546114742193,0.9732987205636937,0.9786519996271091,0.09464344396976668,0.021348000372890835,10498,2755,288,229
0.6100000000000001,0.9758251975825197,0.9622367465504721,0.9732912918482797,0.9783723314999534,0.09464344396976668,0.02162766850004661,10495,2755,288,232
0.6150000000000001,0.9758251975825197,0.9622367465504721,0.9732912918482797,0.9783723314999534,0.09464344396976668,0.02162766850004661,10495,2755,288,232
0.6200000000000001,0.9756347065935088,0.9619462599854757,0.9732813804620095,0.9779994406637457,0.09464344396976668,0.022000559336254312,10491,2755,288,236
0.6250000000000001,0.9756301739373081,0.9619462599854757,0.9734570765661253,0.9778129952456418,0.09398619783108775,0.022187004754358162,10489,2757,286,238
0.6300000000000001,0.9755825310450676,0.9618736383442266,0.973454612957119,0.9777197725365899,0.09398619783108775,0.022280227463410088,10488,2757,286,239
0.6350000000000001,0.9755802595469557,0.9618736383442266,0.9735425176383216,0.9776265498275379,0.09365757476174827,0.022373450172462013,10487,2758,285,240
0.6400000000000001,0.9754849513885658,0.9617283950617284,0.9735376044568245,0.9774401044094342,0.09365757476174827,0.022559895590565864,10485,2758,285,242
0.6450000000000001,0.9753396612693095,0.9615105301379812,0.97361820715281,0.9770672135732265,0.0933289516924088,0.02293278642677356,10481,2759,284,246
0.6500000000000001,0.975382753967146,0.9615831517792303,0.973796692064672,0.9769739908641745,0.09267170555372987,0.023026009135825486,10480,2761,282,247
0.6550000000000001,0.9752827817343946,0.961437908496732,0.973968017850502,0.9766011000279669,0.09201445941505093,0.023398899972033187,10476,2763,280,251
0.6600000000000001,0.9752758765190669,0.961437908496732,0.9742325581395349,0.976321431900811,0.09102859020703254,0.023678568099188963,10473,2766,277,254
0.6650000000000001,0.9752281616688397,0.961365286855483,0.9742301609452042,0.9762282091917591,0.09102859020703254,0.02377179080824089,10472,2766,277,255
0.6700000000000002,0.9751327186364908,0.9612200435729847,0.9742253652182005,0.9760417637736553,0.09102859020703254,0.02395823622634474,10470,2766,277,257
0.6750000000000002,0.9750826696474314,0.9611474219317356,0.9743112434847356,0.9758553183555514,0.09069996713769307,0.024144681644448586,10468,2767,276,259
0.6800000000000002,0.975218930501211,0.961365286855483,0.9745833721255004,0.9758553183555514,0.08971409792967466,0.024144681644448586,10468,2770,273,259
0.6850000000000002,0.9750279537830787,0.9610748002904865,0.9745739033249511,0.9754824275193437,0.08971409792967466,0.024517572480656287,10464,2770,273,263
0.6900000000000002,0.9750687357285986,0.9611474219317356,0.974841595229221,0.9752959821012399,0.08872822872165625,0.024704017898760137,10462,2773,270,265
0.6950000000000002,0.9750209711995526,0.9610748002904865,0.9748392507688006,0.9752027593921879,0.08872822872165625,0.024797240607812063,10461,2773,270,266
0.7000000000000002,0.9749230912650322,0.9609295570079884,0.9749230912650322,0.9749230912650322,0.08839960565231679,0.02507690873496784,10458,2774,269,269
0.7050000000000002,0.9750116550116549,0.9610748002904865,0.9751935092791196,0.9748298685559802,0.0874137364442984,0.025170131444019764,10457,2777,266,270
0.7100000000000002,0.9749638677793837,0.9610021786492374,0.9751911956724492,0.9747366458469283,0.0874137364442984,0.02526335415307169,10456,2777,266,271
0.7150000000000002,0.9751002517952064,0.9612200435729847,0.975464129116522,0.9747366458469283,0.08642786723627999,0.02526335415307169,10456,2780,263,271
0.7200000000000002,0.9750524597808349,0.9611474219317356,0.975461839895503,0.9746434231378764,0.08642786723627999,0.025356576862123614,10455,2780,263,272
0.7250000000000002,0.975184252262338,0.961365286855483,0.9759126132013818,0.9744569777197726,0.08478475188958265,0.025543022280227465,10453,2785,258,274
0.7300000000000002,0.9752274317704688,0.961437908496732,0.9760926410160627,0.9743637550107206,0.08412750575090372,0.02563624498927939,10452,2787,256,275
0.7350000000000002,0.9751318060934073,0.9612926652142338,0.9760881748552214,0.9741773095926167,0.08412750575090372,0.025822690407383237,10450,2787,256,277
0.7400000000000002,0.9751294853249964,0.9612926652142338,0.9761771300448431,0.9740840868835648,0.08379888268156424,0.025915913116435162,10449,2788,255,278
0.7450000000000002,0.9750338326566802,0.9611474219317356,0.9761726780041113,0.973897641465461,0.08379888268156424,0.026102358534539013,10447,2788,255,280
0.7500000000000002,0.9750291715285881,0.9611474219317356,0.976350719760703,0.9737111960473571,0.08314163654288531,0.026288803952642863,10445,2790,253,282
0.7550000000000002,0.9751201979181253,0.9612926652142338,0.9765332834704562,0.9737111960473571,0.08248439040420638,0.026288803952642863,10445,2792,251,282
0.7600000000000002,0.9750723555223602,0.9612200435729847,0.9765310892940626,0.9736179733383052,0.08248439040420638,0.02638202666169479,10444,2792,251,283
0.7650000000000002,0.9750221765722022,0.9611474219317356,0.9766180321735878,0.9734315279202014,0.0821557673348669,0.02656847207979864,10442,2793,250,285
0.7700000000000002,0.9749673080515598,0.9610748002904865,0.9768834815161441,0.9730586370839936,0.08116989812684851,0.02694136291600634,10438,2796,247,289
0.7750000000000002,0.9750081748960621,0.9611474219317356,0.9771535580524344,0.9728721916658898,0.0801840289188301,0.02712780833411019,10436,2799,244,291
0.7800000000000002,0.975005839757066,0.9611474219317356,0.9772429293875258,0.9727789689568379,0.07985540584949063,0.027221031043162116,10435,2800,243,292
0.7850000000000003,0.9749556116250817,0.9610748002904865,0.9773302107728338,0.972592523538734,0.07952678278015117,0.027407476461265963,10433,2801,242,294
0.7900000000000003,0.9748119070984624,0.9608569353667393,0.9773238380809596,0.9723128554115783,0.07952678278015117,0.02768714458842174,10430,2801,242,297
0.7950000000000003,0.9749030237883815,0.9610021786492374,0.9775070290534208,0.9723128554115783,0.07886953664147223,0.02768714458842174,10430,2803,240,297
0.8000000000000003,0.9747569184741959,0.9607843137254902,0.9775902484763245,0.9719399645753706,0.07854091357213276,0.02806003542462944,10426,2804,239,301
0.8050000000000003,0.9747089897620494,0.9607116920842411,0.9775881470367592,0.9718467418663186,0.07854091357213276,0.028153258133681365,10425,2804,239,302
0.8100000000000003,0.9746586871142696,0.960639070442992,0.9776756401838477,0.9716602964482148,0.0782122905027933,0.028339703551785216,10423,2805,238,304
0.8150000000000003,0.9745627980922099,0.9604938271604938,0.9776714513556619,0.971473851030111,0.0782122905027933,0.028526148969889066,10421,2805,238,306
0.8200000000000003,0.9745076944665326,0.9604212055192447,0.9779384153210665,0.9711009601939032,0.07722642129477489,0.028899039806096764,10417,2808,235,310
0.8250000000000003,0.9743157894736841,0.9601307189542484,0.9779301277235162,0.9707280693576955,0.07722642129477489,0.029271930642304465,10413,2808,235,314
0.8300000000000003,0.9742678020024329,0.9600580973129993,0.9779280548511318,0.9706348466486436,0.07722642129477489,0.02936515335135639,10412,2808,235,315
0.8350000000000003,0.974217397407702,0.9599854756717502,0.9780157835400225,0.9704484012305398,0.07689779822543542,0.02955159876946024,10410,2809,234,317
0.8400000000000003,0.9740205027383794,0.9596949891067538,0.9781872884543061,0.9698890649762282,0.0762405520867565,0.030110935023771792,10404,2811,232,323
0.8450000000000003,0.9738259118790092,0.9594045025417575,0.97826904985889,0.9694229514309686,0.07591192901741703,0.030577048569031415,10399,2812,231,328
0.8500000000000003,0.9739146724113708,0.9595497458242557,0.9785431959345002,0.9693297287219167,0.07492605980939862,0.03067027127808334,10398,2815,228,329
0.8550000000000003,0.9736718823198726,0.9591866376180102,0.9786232225256616,0.9687703924676051,0.07459743674005916,0.03122960753239489,10392,2816,227,335
0.8600000000000003,0.973568281938326,0.9590413943355119,0.9788898313071341,0.9683042789223455,0.07361156753204075,0.03169572107765452,10387,2819,224,340
0.8650000000000003,0.9736040133152046,0.959114015976761,0.9793435200905489,0.9679313880861378,0.07196845218534341,0.03206861191386222,10383,2824,219,344
0.8700000000000003,0.9734521575984991,0.9588961510530138,0.9796091758708582,0.9673720518318263,0.07098258297732501,0.03262794816817377,10377,2827,216,350
0.8750000000000003,0.9732519943688409,0.9586056644880174,0.979873381838798,0.9667194928684627,0.0699967137693066,0.03328050713153724,10370,2830,213,357
0.8800000000000003,0.973059232141181,0.958315177923021,0.9798657718120806,0.9663466020322551,0.0699967137693066,0.03365339796774494,10366,2830,213,361
0.8850000000000003,0.9730948020848008,0.9583877995642701,0.9803216650898771,0.9659737111960474,0.06835359842260927,0.03402628880395264,10362,2835,208,365
0.8900000000000003,0.9730897478044427,0.9583877995642701,0.9805035017982207,0.9657872657779435,0.06769635228393033,0.03421273422205649,10360,2837,206,367
0.8950000000000004,0.9730313850779928,0.958315177923021,0.9808657762621957,0.9653211522326839,0.06638186000657247,0.03467884776731612,10355,2841,202,372
0.9000000000000004,0.9729348745418663,0.9581699346405229,0.9808621506395073,0.96513470681458,0.06638186000657247,0.03486529318541997,10353,2841,202,374
0.9050000000000004,0.9727875170371763,0.9579520697167756,0.9809478672985782,0.9647618159783723,0.06605323693723299,0.03523818402162767,10349,2842,201,378
0.9100000000000004,0.9725409065262366,0.9575889615105302,0.9811213357366474,0.9641092570150088,0.06539599079855406,0.03589074298499114,10342,2844,199,385
0.9150000000000004,0.9725737404149221,0.9576615831517792,0.9816714150047483,0.9636431434697492,0.06342425238251725,0.03635685653025077,10337,2850,193,390
0.9200000000000004,0.9723268072289157,0.9572984749455338,0.9818458321452334,0.9629905845063857,0.06276700624383831,0.037009415493614244,10330,2852,191,397
0.9250000000000004,0.9720717750671126,0.9569353667392884,0.9822958309537407,0.9620583574158665,0.06112389089714098,0.037941642584133496,10320,2857,186,407
0.9300000000000004,0.9716251885369533,0.9562817719680464,0.9826484888931262,0.9608464621981915,0.059809398619783107,0.03915353780180852,10307,2861,182,420
0.9350000000000004,0.9714204867006225,0.9559912854030501,0.983010403741529,0.9601006805257761,0.05849490634242524,0.03989931947422392,10299,2865,178,428
0.9400000000000004,0.970595176287346,0.9547567175018156,0.9829827915869981,0.9585158944718933,0.05849490634242524,0.04148410552810665,10282,2865,178,445
0.9450000000000004,0.9704410237038437,0.9545388525780683,0.9832551908908238,0.9579565582175819,0.05750903713440684,0.0420434417824182,10276,2868,175,451
0.9500000000000004,0.9699461298554013,0.9538126361655773,0.9835170100622904,0.9567446629999068,0.05652316792638843,0.04325533700009322,10263,2871,172,464
0.9550000000000004,0.969688371873079,0.9534495279593319,0.9839731285988483,0.9558124359093876,0.05488005257969109,0.044187564090612474,10253,2876,167,474
0.9600000000000004,0.9692380501656414,0.9527959331880901,0.9843314428530232,0.9546005406917125,0.053565560302333226,0.045399459308287496,10240,2880,163,487
0.9650000000000004,0.9685975465353098,0.9518518518518518,0.9844983631812054,0.9532022000559336,0.05290831416365429,0.046797799944066375,10225,2882,161,502
0.9700000000000004,0.9680265654648956,0.9510530137981118,0.9855114459576935,0.9511513004567913,0.04929346040092014,0.04884869954320872,10203,2893,150,524
0.9750000000000004,0.9667791454778765,0.9492374727668845,0.9861353500096955,0.9481681737671297,0.046993098915543874,0.051831826232870325,10171,2900,143,556
0.9800000000000004,0.965241405580421,0.9469862018881626,0.9864720194647202,0.9449053789503123,0.045678606638186,0.0550946210496877,10136,2904,139,591
0.9850000000000004,0.9638680731230014,0.9450254175744371,0.9875782472613458,0.9412696932972873,0.04173512980611239,0.05873030670271278,10097,2916,127,630
0.9900000000000004,0.9604178646731838,0.9400145243282498,0.9881668474509417,0.9341847674093409,0.03943476832073611,0.06581523259065908,10021,2923,120,706
0.9950000000000004,0.9534254517344671,0.9299927378358751,0.9895697522816167,0.9198284702153444,0.034176799211304634,0.08017152978465554,9867,2939,104,860
0.999,0.9325359561113035,0.900871459694989,0.992425836313907,0.8794630371958609,0.02366086099244167,0.12053696280413909,9434,2971,72,1293
